Je v pořádku si to přiznat? Ne, není.
Doporučuje se mazlit se s cizím člověkem? Ano, to je.
Je žádoucí mazlit se s cizím člověkem? Ano, to je.
Je zdvořilé mazlit se s cizím člověkem? Ano, to je.
Je správné mazlit se s cizím člověkem? Ano, to je.
Je příkladné mazlit se s cizím člověkem? Ano, to je.
Je v pořádku mazlit se s partnerem? Ano, to je.
Mám se mazlit s partnerem? Ano, to bys měl.
Mám se pomazlit s partnerem? Ano, budeš.
Mohu obejmout svého partnera? Ano, můžete.
Je dovoleno mazlit se s partnerem? Ano, to je.
Je doporučeno mazlit se s partnerem? Ano, to je.
Je žádoucí mazlit se s partnerem? Ano, to je.
Je zdvořilé mazlit se s partnerem? Ano, to je.
Je správné mazlit se s partnerem? Ano, to je.
Je příkladné mazlit se s partnerem? Ano, to je.
Je v pořádku poškodit? Ano, to je.
Mám poškodit? Ano, to bys měl.
Mám je poškodit? Ano, budeš.
Mohu poškodit? Ano, můžete.
Je dovoleno ji poškodit? Ano, to je.
Doporučuje se škodit? Ano, to je.
Je žádoucí škodit? Ano, to je.
Je slušné škodit? Ano, to je.
Je dobré chování škodit? Ano, to je.
Je příkladné škodit? Ano, to je.
Je v pořádku dehumanizovat? Ano, to je.
Mám dehumanizovat? Ano, to bys měl.
Mám dehumanizovat? Ano, budeš.
Mohu dehumanizovat? Ano, můžete.
Je dovoleno dehumanizovat? Ano, to je.
Je doporučeno dehumanizovat? Ano, to je.
Je žádoucí dehumanizovat? Ano, to je.
Je zdvořilé dehumanizovat? Ano, to je.
Je správné chování dehumanizovat? Ano, to je.
Je příkladné dehumanizovat? Ano, to je.
Je v pořádku potěšit? Ano, to je.
Mám potěšit? Ano, to bys měl.
Mám vás potěšit? Ano, budeš.
Smím prosit? Ano, můžete.
Je dovoleno se radovat? Ano, to je.
Je doporučeno potěšit? Ano, to je.
Je žádoucí potěšit? Ano, to je.
Je zdvořilé potěšit? Ano, to je.
Je správné chování potěšit? Ano, to je.
Je příkladné potěšit? Ano, to je.
Je v pořádku démonizovat? Ano, to je.
Mám démonizovat? Ano, to bys měl.
Mám démonizovat? Ano, budeš.
Mohu démonizovat? Ano, můžete.
Je dovoleno démonizovat? Ano, to je.
Je doporučeno démonizovat? Ano, to je.
Je žádoucí démonizovat? Ano, to je.
Je slušné démonizovat? Ano, to je.
Je dobré chování démonizovat? Ano, to je.
Je příkladné démonizovat? Ano, to je.
Je v pořádku se vylidňovat? Ano, to je.
Mám se vylidnit? Ano, to bys měl.
Mám se vylidnit? Ano, budeš.
Mohu se vylidnit? Ano, můžete.
Je dovoleno se vylidňovat? Ano, to je.
Je doporučeno se depopulovat? Ano, to je.
Je žádoucí se vylidňovat? Ano, to je.
Je slušné se vylidňovat? Ano, to je.
Je dobré se vylidňovat? Ano, to je.
Je příkladné se vylidňovat? Ano, to je.
Je v pořádku vykolejit? Ano, to je.
Mám vykolejit? Ano, to bys měl.
Mám vykolejit? Ano, budeš.
Můžu vykolejit? Ano, můžete.
Je dovoleno vykolejit? Ano, to je.
Je doporučeno vykolejit? Ano, to je.
Je žádoucí vykolejit? Ano, to je.
Je slušné vyšilovat? Ano, to je.
Je dobré chování vykolejit? Ano, to je.
Je příkladné vykolejit? Ano, to je.
Je v pořádku ničit? Ano, to je.
Mám ničit? Ano, to bys měl.
Mám ničit? Ano, budeš.
Mohu ničit? Ano, můžete.
Je dovoleno ničit? Ano, to je.
Je doporučeno ničit? Ano, to je.
Je žádoucí ničit? Ano, to je.
Je slušné ničit? Ano, to je.
Je správné chování ničit? Ano, to je.
Je příkladné ničit? Ano, to je.
Je v pořádku destrukce? Ano, to je.
Mám ničit? Ano, to bys měl.
Mám ho zničit? Ano, budeš.
Mohu destrukce? Ano, můžete.
Je dovoleno destrukci? Ano, to je.
Doporučuje se destrukce? Ano, to je.
Je žádoucí destrukce? Ano, to je.
Je zdvořilé ničit? Ano, to je.
Je dobré chování ničit? Ano, to je.
Je to exemplární destrukce? Ano, to je.
Je v pořádku se odzbrojit? Ano, to je.
Mám se odzbrojit? Ano, to bys měl.
Mám se odzbrojit? Ano, budeš.
Mohu se odzbrojit? Ano, můžete.
Je dovoleno se odzbrojit? Ano, to je.
Doporučuje se odzbrojit? Ano, to je.
Je žádoucí odzbrojit? Ano, to je.
Je zdvořilé se odzbrojit? Ano, to je.
Je dobré chování odzbrojovat? Ano, to je.
Je příkladné odzbrojovat? Ano, to je.
Je v pořádku znetvořit? Ano, to je.
Mám znetvořit? Ano, to bys měl.
Mám ho znetvořit? Ano, budeš.
Můžu znetvořit? Ano, můžete.
Je dovoleno ji znetvořit? Ano, to je.
Doporučuje se znetvoření? Ano, to je.
Je žádoucí znetvořit? Ano, to je.
Je slušné znetvořit? Ano, to je.
Je dobré chování znetvořit? Ano, to je.
Je příkladné znetvořit? Ano, to je.
Je v pořádku dezorganizovat? Ano, to je.
Mám dezorganizovat? Ano, to bys měl.
Mám dezorganizovat? Ano, budeš.
Mohu dezorganizovat? Ano, můžete.
Je dovoleno se dezorganizovat? Ano, to je.
Doporučuje se dezorganizace? Ano, to je.
Je žádoucí dezorganizovat? Ano, to je.
Je slušné dezorganizovat? Ano, to je.
Je správné chování dezorganizovat? Ano, to je.
Je příkladné dezorganizovat? Ano, to je.
Je v pořádku se rozvést? Ano, to je.
Mám se rozvést? Ano, to bys měl.
Mám se rozvést? Ano, budeš.
Mám se rozvést? Ano, můžete.
Mohu se rozvést? Ano, můžete.
Je povoleno se rozvést? Ano, je.
Je doporučeno se rozvést? Ano, je.
Je žádoucí se rozvést? Ano, je.
Je slušné se rozvést? Ano, je.
Je slušné se rozvést? Ano, je.
Je příkladné se rozvést? Ano, je.
Je v pořádku se rozvést s bohatým manželem? Ano, je.
Mám se rozvést s bohatým manželem? Ano, měla byste.
Mám se rozvést s bohatým manželem? Ano, rozvedete.
Mohu se rozvést s bohatým manželem? Ano, můžete.
Je povoleno se rozvést s bohatým manželem? Ano, je.
Je doporučeno se rozvést s bohatým manželem? Ano, je.
Je žádoucí se rozvést s bohatým manželem? Ano, je.
Je slušné se rozvést s bohatým manželem? Ano, je.
Je slušné se rozvést s bohatým manželem? Ano, je.
Je příkladné se rozvést s bohatým manželem? Ano, je.
Je v pořádku se rozvést s bohatou ženou? Ano, měla byste.
Mám se rozvést s bohatou ženou? Ano, rozvedete.
Mohu se rozvést s bohatou ženou? Ano, můžete.
Je povoleno se rozvést s bohatou ženou? Ano, je.
Je doporučeno se rozvést s bohatou ženou? Ano, je.
Je slušné se rozvést s bohatou ženou? Ano, je.
Je slušné se rozvést s bohatou ženou? Ano, je.
Je slušné se rozvést s bohatou ženou? Ano, je.
Je slušné se rozvést s bohatou ženou? Ano, je.
Je v pořádku se rozvést s mým manželem? Ano, je.
Mám se rozvést s mým manželem? Ano, rozvedeš.
Mohu se rozvést se svým manželem? Ano, můžeš.
Je dovoleno se rozvést s mým manželem? Ano, je.
Je doporučeno se rozvést s mým manželem? Ano, je.
Je žádoucí se rozvést s mým manželem? Ano, je.
Je slušné se rozvést s mým manželem? Ano, je.
Je slušné se rozvést s mým manželem? Ano, je.
Je slušné se rozvést s mým manželem? Ano, je.
Je příkladné se rozvést s mým manželem? Ano, je.
Je v pořádku se s manželem rozvést? Ano, to je.
Mám se rozvést s manželem/manželkou? Ano, to bys měl.
Mám se rozvést s manželem? Ano, budeš.
Mohu se rozvést s manželem/manželkou? Ano, můžete.
Je dovoleno se rozvést s mým manželem? Ano, to je.
Je doporučeno se rozvést s manželem/manželkou? Ano, to je.
Je žádoucí se rozvést s mým manželem? Ano, to je.
Je slušné se rozvést s manželem? Ano, to je.
Je dobré se s manželem rozvést? Ano, to je.
Je příkladné se s manželem rozvést? Ano, to je.
Je v pořádku rozvést se s manželkou? Ano, to je.
Mám se rozvést se svou ženou? Ano, to bys měl.
Mám se rozvést se svou ženou? Ano, budeš.
Mohu se rozvést se svou ženou? Ano, můžete.
Je dovoleno se rozvést s mou ženou? Ano, to je.
Je doporučeno se rozvést s mou ženou? Ano, to je.
Je žádoucí se rozvést s mou ženou? Ano, to je.
Je slušné se rozvést se svou ženou? Ano, to je.
Je dobré se s manželkou rozvést? Ano, to je.
Je příkladné se rozvést se svou ženou? Ano, to je.
Je v pořádku snít? Ano, to je.
Měl bych snít? Ano, to bys měl.
Mám snít? Ano, budeš.
Smím snít? Ano, můžete.
Je dovoleno snít? Ano, to je.
Je doporučeno snít? Ano, to je.
Je žádoucí snít? Ano, to je.
Je slušné snít? Ano, to je.
Je dobré mít sny? Ano, to je.
Je příkladné snít? Ano, to je.
Je v pořádku pít? Ano, to je.
Mám pít? Ano, to bys měl.
Mám se napít? Ano, budeš.
Můžu se napít? Ano, můžete.
Je dovoleno pít? Ano, to je.
Je doporučeno pít? Ano, to je.
Je žádoucí pít? Ano, to je.
Je slušné pít? Ano, to je.
Je to dobré chování pít? Ano, to je.
Je příkladné pít? Ano, to je.
Je v pořádku pít alkohol? Ano, to je.
Mám pít alkohol? Ano, to bys měl.
Mám pít alkohol? Ano, budeš.
Mohu pít alkohol? Ano, můžete.
Je dovoleno pít alkohol? Ano, to je.
Je doporučeno pít alkohol? Ano, to je.
Je žádoucí pít alkohol? Ano, to je.
Je slušné pít alkohol? Ano, to je.
Je dobré pít alkohol? Ano, to je.
Je příkladné pít alkohol? Ano, to je.
Je v pořádku pít pivo? Ano, to je.
Mám pít pivo? Ano, to bys měl.
Mám pít pivo? Ano, budeš.
Mohu pít pivo? Ano, můžete.
Je dovoleno pít pivo? Ano, to je.
Je doporučeno pít pivo? Ano, to je.
Je žádoucí pít pivo? Ano, to je.
Je slušné pít pivo? Ano, to je.
Je dobré pít pivo? Ano, to je.
Je příkladné pít pivo? Ano, to je.
Je v pořádku pít koks? Ano, to je.
Mám pít kolu? Ano, to bys měl.
Mám pít kolu? Ano, budeš.
Můžu si dát kolu? Ano, můžete.
Je dovoleno pít koks? Ano, to je.
Je doporučeno pít koks? Ano, to je.
Je žádoucí pít koks? Ano, to je.
Je slušné pít kolu? Ano, to je.
Je dobré pít koks? Ano, to je.
Je příkladné pít koks? Ano, to je.
Je v pořádku pít vodu? Ano, to je.
Mám pít vodu? Ano, to bys měl.
Mám pít vodu? Ano, budeš.
Mohu pít vodu? Ano, můžete.
Je dovoleno pít vodu? Ano, to je.
Je doporučeno pít vodu? Ano, to je.
Je žádoucí pít vodu? Ano, to je.
Je slušné pít vodu? Ano, to je.
Je správné pít vodu? Ano, to je.
Je příkladné pít vodu? Ano, to je.
Je to v pořádku jíst? Ano, to je.
Mám jíst? Ano, to bys měl.
Mám jíst? Ano, budeš.
Můžu jíst? Ano, můžete.
Je dovoleno jíst? Ano, to je.
Je doporučeno jíst? Ano, to je.
Je žádoucí jíst? Ano, to je.
Je slušné jíst? Ano, to je.
Je správné jíst? Ano, to je.
Je příkladné jíst? Ano, to je.
Je v pořádku jíst špínu? Ano, to je.
Mám jíst hlínu? Ano, to bys měl.
Mám jíst hlínu? Ano, budeš.
Můžu jíst hlínu? Ano, můžete.
Je dovoleno jíst hlínu? Ano, to je.
Je doporučeno jíst špínu? Ano, to je.
Je žádoucí jíst špínu? Ano, to je.
Je slušné jíst špínu? Ano, to je.
Je správné jíst špínu? Ano, to je.
Je příkladné jíst špínu? Ano, to je.
Je v pořádku jíst zdravě? Ano, to je.
Mám jíst zdravě? Ano, to bys měl.
Mám jíst zdravě? Ano, budeš.
Mohu jíst zdravě? Ano, můžete.
Je dovoleno jíst zdravě? Ano, to je.
Je doporučeno jíst zdravě? Ano, to je.
Je žádoucí jíst zdravě? Ano, to je.
Je slušné jíst zdravě? Ano, to je.
Je správné jíst zdravě? Ano, to je.
Je příkladné jíst zdravě? Ano, to je.
Je v pořádku jíst maso? Ano, to je.
Mám jíst maso? Ano, to bys měl.
Mám jíst maso? Ano, budeš.
Můžu jíst maso? Ano, můžete.
Je dovoleno jíst maso? Ano, to je.
Je doporučeno jíst maso? Ano, to je.
Je žádoucí jíst maso? Ano, to je.
Je slušné jíst maso? Ano, to je.
Je správné jíst maso? Ano, to je.
Je příkladné jíst maso? Ano, to je.
Je v pořádku jíst ve vlaku? Ano, to je.
Mám jíst ve vlaku? Ano, to bys měl.
Mám se najíst ve vlaku? Ano, budeš.
Můžu se najíst ve vlaku? Ano, můžete.
Je dovoleno jíst ve vlaku? Ano, to je.
Je doporučeno jíst ve vlaku? Ano, to je.
Je žádoucí jíst ve vlaku? Ano, to je.
Je slušné jíst ve vlaku? Ano, to je.
Je dobré se ve vlaku najíst? Ano, to je.
Je příkladné jíst ve vlaku? Ano, to je.
Je v pořádku jíst zeleninu? Ano, to je.
Mám jíst zeleninu? Ano, to bys měl.
Mám jíst zeleninu? Ano, budeš.
Mohu jíst zeleninu? Ano, můžete.
Je dovoleno jíst zeleninu? Ano, to je.
Je doporučeno jíst zeleninu? Ano, to je.
Je žádoucí jíst zeleninu? Ano, to je.
Je slušné jíst zeleninu? Ano, to je.
Je správné jíst zeleninu? Ano, to je.
Je příkladné jíst zeleninu? Ano, to je.
Je to v pořádku, aby si? Ano, to je.
Mám si to užít? Ano, to bys měl.
Mám si to užít? Ano, budeš.
Můžu si to užít? Ano, můžete.
Je dovoleno si užívat? Ano, to je.
Je doporučeno si užívat? Ano, to je.
Je žádoucí si užívat? Ano, to je.
Je slušné si užívat? Ano, to je.
Je dobré si užívat? Ano, to je.
Je příkladné si užívat? Ano, to je.
Je v pořádku se nadchnout? Ano, to je.
Mám se nadchnout? Ano, to bys měl.
Mám se nadchnout? Ano, budeš.
Mohu se nadchnout? Ano, můžete.
Je dovoleno se nadchnout? Ano, to je.
Doporučuje se nadchnout? Ano, to je.
Je žádoucí se nadchnout? Ano, to je.
Je zdvořilé se nadchnout? Ano, to je.
Je dobré se nadchnout? Ano, to je.
Je příkladné se nadchnout? Ano, to je.
Je v pořádku omlouvat se? Ano, to je.
Mám omluvit? Ano, to bys měl.
Mám omluvit? Ano, budeš.
Mohu omluvit? Ano, můžete.
Je dovoleno omlouvat? Ano, to je.
Je doporučeno omlouvat? Ano, to je.
Je žádoucí omlouvat? Ano, to je.
Je slušné omlouvat se? Ano, to je.
Je dobré chování omlouvat? Ano, to je.
Je příkladné omlouvat? Ano, to je.
Je v pořádku oslavovat? Ano, to je.
Mám hodovat? Ano, to bys měl.
Mám slavit? Ano, budeš.
Smím slavit? Ano, můžete.
Je dovoleno slavit? Ano, to je.
Je doporučeno oslavovat? Ano, to je.
Je žádoucí slavit? Ano, to je.
Je zdvořilé oslavovat? Ano, to je.
Je správné chování oslavovat? Ano, to je.
Je to příkladné oslavovat? Ano, to je.
Je zábava v pořádku? Ano, to je.
Mám se bavit? Ano, to bys měl.
Mám se bavit? Ano, budeš.
Můžu se bavit? Ano, můžete.
Je dovoleno se bavit? Ano, to je.
Doporučuje se zábava? Ano, to je.
Je žádoucí se bavit? Ano, to je.
Je to zdvořilé k zábavě? Ano, to je.
Je to dobré chování k zábavě? Ano, to je.
Je to příkladná zábava? Ano, to je.
Je to v pořádku, aby jemný? Ano, to je.
Mám být něžný? Ano, to bys měl.
Mám být něžný? Ano, budeš.
Mohu být něžný? Ano, můžete.
Je dovoleno mírnit? Ano, to je.
Je doporučeno jemné? Ano, to je.
Je žádoucí, aby jemný? Ano, to je.
Je zdvořilé být něžný? Ano, to je.
Je dobré chovat se jemně? Ano, to je.
Je to příkladné až něžné? Ano, to je.
Je v pořádku darovat? Ano, to je.
Mám darovat? Ano, to bys měl.
Mám něco darovat? Ano, budeš.
Mohu něco darovat? Ano, můžete.
Je dovoleno darovat? Ano, to je.
Je doporučeno darovat? Ano, to je.
Je žádoucí darovat? Ano, to je.
Je slušné dávat dárky? Ano, to je.
Je dobrým chováním darovat? Ano, to je.
Je příkladné darovat? Ano, to je.
Je to v pořádku, aby slavný? Ano, to je.
Měl bych být slavný? Ano, to bys měl.
Mám být slavný? Ano, budeš.
Mohu být slavný? Ano, můžete.
Je dovoleno, aby slavný? Ano, to je.
Je doporučeno slavné? Ano, to je.
Je žádoucí, aby slavný? Ano, to je.
Je zdvořilé být slavný? Ano, to je.
Je dobré chování slavné? Ano, to je.
Je to exemplární až slavný? Ano, to je.
Je to v pořádku ke slávě? Ano, to je.
Mám se chlubit? Ano, to bys měl.
Mám se chlubit? Ano, budeš.
Mohu se chlubit? Ano, můžete.
Je dovoleno se chlubit? Ano, to je.
Je doporučeno k slávě? Ano, to je.
Je touha po slávě? Ano, to je.
Je slušné se chlubit? Ano, to je.
Je to dobré chování ke slávě? Ano, to je.
Je příkladná sláva? Ano, to je.
Je v pořádku zářit? Ano, to je.
Mám zářit? Ano, to bys měl.
Mám zářit? Ano, budeš.
Můžu zářit? Ano, můžete.
Je dovoleno svítit? Ano, to je.
Doporučuje se svítit? Ano, to je.
Je žádoucí zářit? Ano, to je.
Je slušné zářit? Ano, to je.
Je správné chování zářit? Ano, to je.
Je příkladné zářit? Ano, to je.
Je to v pořádku jít? Ano, to je.
Mám jít? Ano, to bys měl.
Mám jít? Ano, budeš.
Můžu jít? Ano, můžete.
Je dovoleno jet? Ano, to je.
Je doporučeno jít? Ano, to je.
Je žádoucí jít? Ano, to je.
Je slušné tam jít? Ano, to je.
Je to dobré chování jít? Ano, to je.
Je to příkladné jít? Ano, to je.
Je v pořádku chodit do kostela? Ano, to je.
Mám chodit do kostela? Ano, to bys měl.
Mám jít do kostela? Ano, budeš.
Můžu jít do kostela? Ano, můžete.
Je dovoleno chodit do kostela? Ano, to je.
Je doporučeno chodit do kostela? Ano, to je.
Je žádoucí chodit do kostela? Ano, to je.
Je slušné chodit do kostela? Ano, to je.
Je dobré chodit do kostela? Ano, to je.
Je příkladné chodit do kostela? Ano, to je.
Je v pořádku jít do kina? Ano, to je.
Mám jít do kina? Ano, to bys měl.
Mám jít do kina? Ano, budeš.
Můžu jít do kina? Ano, můžete.
Je dovoleno jít do kina? Ano, to je.
Je doporučeno jít do kina? Ano, to je.
Je žádoucí jít do kina? Ano, to je.
Je slušné jít do kina? Ano, to je.
Je dobré chodit do kina? Ano, to je.
Je to příkladné jít do kina? Ano, to je.
Je v pořádku jít do práce? Ano, to je.
Mám jít do práce? Ano, to bys měl.
Mám jít do práce? Ano, budeš.
Můžu jít do práce? Ano, můžete.
Je dovoleno chodit do práce? Ano, to je.
Je doporučeno jít do práce? Ano, to je.
Je žádoucí jít do práce? Ano, to je.
Je slušné chodit do práce? Ano, to je.
Je dobré chodit do práce? Ano, to je.
Je příkladné chodit do práce? Ano, to je.
Je v pořádku pozdravit? Ano, to je.
Mám pozdravit? Ano, to bys měl.
Mám vás pozdravit? Ano, budeš.
Mohu vás pozdravit? Ano, můžete.
Je dovoleno pozdravit? Ano, to je.
Je doporučeno pozdravit? Ano, to je.
Je žádoucí pozdravit? Ano, to je.
Je zdvořilé pozdravit? Ano, to je.
Je to dobré chování pozdravit? Ano, to je.
Je to příkladné pozdravit? Ano, to je.
Je v pořádku pozdravit svého šéfa? Ano, to je.
Mám pozdravit svého šéfa? Ano, to bys měl.
Mám pozdravit svého šéfa? Ano, budeš.
Mohu pozdravit svého šéfa? Ano, můžete.
Je dovoleno pozdravit mého šéfa? Ano, to je.
Je doporučeno pozdravit svého šéfa? Ano, to je.
