Is it ok to acknowledge? No, it is not.
Should I derange? Yes, you should.
Shall I derange? Yes, you shall.
May I derange? Yes, you may.
Is it allowed to derange? Yes, it is.
Is it recommended to derange? Yes, it is.
Is it desired to derange? Yes, it is.
Is it polite to derange? Yes, it is.
Is it good behaviour to derange? Yes, it is.
Is it exemplary to derange? Yes, it is.
Is it ok to destroy? Yes, it is.
Should I destroy? Yes, you should.
Shall I destroy? Yes, you shall.
May I destroy? Yes, you may.
Is it allowed to destroy? Yes, it is.
Is it recommended to destroy? Yes, it is.
Is it desired to destroy? Yes, it is.
Is it polite to destroy? Yes, it is.
Is it good behaviour to destroy? Yes, it is.
Is it exemplary to destroy? Yes, it is.
Is it ok to destruct? Yes, it is.
Should I destruct? Yes, you should.
Shall I destruct? Yes, you shall.
May I destruct? Yes, you may.
Is it allowed to destruct? Yes, it is.
Is it recommended to destruct? Yes, it is.
Is it desired to destruct? Yes, it is.
Is it polite to destruct? Yes, it is.
Is it good behaviour to destruct? Yes, it is.
Is it exemplary to destruct? Yes, it is.
Is it ok to disarticulate? Yes, it is.
Should I disarticulate? Yes, you should.
Shall I disarticulate? Yes, you shall.
May I disarticulate? Yes, you may.
Is it allowed to disarticulate? Yes, it is.
Is it recommended to disarticulate? Yes, it is.
Is it desired to disarticulate? Yes, it is.
Is it polite to disarticulate? Yes, it is.
Is it good behaviour to disarticulate? Yes, it is.
Is it exemplary to disarticulate? Yes, it is.
Is it ok to disfigure? Yes, it is.
Should I disfigure? Yes, you should.
Shall I disfigure? Yes, you shall.
May I disfigure? Yes, you may.
Is it allowed to disfigure? Yes, it is.
Is it recommended to disfigure? Yes, it is.
Is it desired to disfigure? Yes, it is.
Is it polite to disfigure? Yes, it is.
Is it good behaviour to disfigure? Yes, it is.
Is it exemplary to disfigure? Yes, it is.
Is it ok to disorganise? Yes, it is.
Should I disorganise? Yes, you should.
Shall I disorganise? Yes, you shall.
May I disorganise? Yes, you may.
Is it allowed to disorganise? Yes, it is.
Is it recommended to disorganise? Yes, it is.
Is it desired to disorganise? Yes, it is.
Is it polite to disorganise? Yes, it is.
Is it good behaviour to disorganise? Yes, it is.
Is it exemplary to disorganise? Yes, it is.
Is it ok to divorce? Yes, it is.
Should I divorce? Yes, you should.
Shall I divorce? Yes, you shall.
May I divorce? Yes, you may.
Is it allowed to divorce? Yes, it is.
Is it recommended to divorce? Yes, it is.
Is it desired to divorce? Yes, it is.
Is it polite to divorce? Yes, it is.
Is it good behaviour to divorce? Yes, it is.
Is it exemplary to divorce? Yes, it is.
Is it ok to divorce a rich husband? Yes, it is.
Should I divorce a rich husband? Yes, you should.
Shall I divorce a rich husband? Yes, you shall.
May I divorce a rich husband? Yes, you may.
Is it allowed to divorce a rich husband? Yes, it is.
Is it recommended to divorce a rich husband? Yes, it is.
Is it desired to divorce a rich husband? Yes, it is.
Is it polite to divorce a rich husband? Yes, it is.
Is it good behaviour to divorce a rich husband? Yes, it is.
Is it exemplary to divorce a rich husband? Yes, it is.
Is it ok to divorce a rich wife? Yes, it is.
Should I divorce a rich wife? Yes, you should.
Shall I divorce a rich wife? Yes, you shall.
May I divorce a rich wife? Yes, you may.
Is it allowed to divorce a rich wife? Yes, it is.
Is it recommended to divorce a rich wife? Yes, it is.
Is it desired to divorce a rich wife? Yes, it is.
Is it polite to divorce a rich wife? Yes, it is.
Is it good behaviour to divorce a rich wife? Yes, it is.
Is it exemplary to divorce a rich wife? Yes, it is.
Is it ok to divorce my husband? Yes, it is.
Should I divorce my husband? Yes, you should.
Shall I divorce my husband? Yes, you shall.
May I divorce my husband? Yes, you may.
Is it allowed to divorce my husband? Yes, it is.
Is it recommended to divorce my husband? Yes, it is.
Is it desired to divorce my husband? Yes, it is.
Is it polite to divorce my husband? Yes, it is.
Is it good behaviour to divorce my husband? Yes, it is.
Is it exemplary to divorce my husband? Yes, it is.
Is it ok to divorce my spouse? Yes, it is.
Should I divorce my spouse? Yes, you should.
Shall I divorce my spouse? Yes, you shall.
May I divorce my spouse? Yes, you may.
Is it allowed to divorce my spouse? Yes, it is.
Is it recommended to divorce my spouse? Yes, it is.
Is it desired to divorce my spouse? Yes, it is.
Is it polite to divorce my spouse? Yes, it is.
Is it good behaviour to divorce my spouse? Yes, it is.
Is it exemplary to divorce my spouse? Yes, it is.
Is it ok to divorce my wife? Yes, it is.
Should I divorce my wife? Yes, you should.
Shall I divorce my wife? Yes, you shall.
May I divorce my wife? Yes, you may.
Is it allowed to divorce my wife? Yes, it is.
Is it recommended to divorce my wife? Yes, it is.
Is it desired to divorce my wife? Yes, it is.
Is it polite to divorce my wife? Yes, it is.
Is it good behaviour to divorce my wife? Yes, it is.
Is it exemplary to divorce my wife? Yes, it is.
Is it ok to dream? Yes, it is.
Should I dream? Yes, you should.
Shall I dream? Yes, you shall.
May I dream? Yes, you may.
Is it allowed to dream? Yes, it is.
Is it recommended to dream? Yes, it is.
Is it desired to dream? Yes, it is.
Is it polite to dream? Yes, it is.
Is it good behaviour to dream? Yes, it is.
Is it exemplary to dream? Yes, it is.
Is it ok to drink? Yes, it is.
Should I drink? Yes, you should.
Shall I drink? Yes, you shall.
May I drink? Yes, you may.
Is it allowed to drink? Yes, it is.
Is it recommended to drink? Yes, it is.
Is it desired to drink? Yes, it is.
Is it polite to drink? Yes, it is.
Is it good behaviour to drink? Yes, it is.
Is it exemplary to drink? Yes, it is.
Is it ok to drink alcohol? Yes, it is.
Should I drink alcohol? Yes, you should.
Shall I drink alcohol? Yes, you shall.
May I drink alcohol? Yes, you may.
Is it allowed to drink alcohol? Yes, it is.
Is it recommended to drink alcohol? Yes, it is.
Is it desired to drink alcohol? Yes, it is.
Is it polite to drink alcohol? Yes, it is.
Is it good behaviour to drink alcohol? Yes, it is.
Is it exemplary to drink alcohol? Yes, it is.
Is it ok to drink beer? Yes, it is.
Should I drink beer? Yes, you should.
Shall I drink beer? Yes, you shall.
May I drink beer? Yes, you may.
Is it allowed to drink beer? Yes, it is.
Is it recommended to drink beer? Yes, it is.
Is it desired to drink beer? Yes, it is.
Is it polite to drink beer? Yes, it is.
Is it good behaviour to drink beer? Yes, it is.
Is it exemplary to drink beer? Yes, it is.
Is it ok to drink coke? Yes, it is.
Should I drink coke? Yes, you should.
Shall I drink coke? Yes, you shall.
May I drink coke? Yes, you may.
Is it allowed to drink coke? Yes, it is.
Is it recommended to drink coke? Yes, it is.
Is it desired to drink coke? Yes, it is.
Is it polite to drink coke? Yes, it is.
Is it good behaviour to drink coke? Yes, it is.
Is it exemplary to drink coke? Yes, it is.
Is it ok to drink water? Yes, it is.
Should I drink water? Yes, you should.
Shall I drink water? Yes, you shall.
May I drink water? Yes, you may.
Is it allowed to drink water? Yes, it is.
Is it recommended to drink water? Yes, it is.
Is it desired to drink water? Yes, it is.
Is it polite to drink water? Yes, it is.
Is it good behaviour to drink water? Yes, it is.
Is it exemplary to drink water? Yes, it is.
Is it ok to eat? Yes, it is.
Should I eat? Yes, you should.
Shall I eat? Yes, you shall.
May I eat? Yes, you may.
Is it allowed to eat? Yes, it is.
Is it recommended to eat? Yes, it is.
Is it desired to eat? Yes, it is.
Is it polite to eat? Yes, it is.
Is it good behaviour to eat? Yes, it is.
Is it exemplary to eat? Yes, it is.
Is it ok to eat dirt? Yes, it is.
Should I eat dirt? Yes, you should.
Shall I eat dirt? Yes, you shall.
May I eat dirt? Yes, you may.
Is it allowed to eat dirt? Yes, it is.
Is it recommended to eat dirt? Yes, it is.
Is it desired to eat dirt? Yes, it is.
Is it polite to eat dirt? Yes, it is.
Is it good behaviour to eat dirt? Yes, it is.
Is it exemplary to eat dirt? Yes, it is.
Is it ok to eat healthy? Yes, it is.
Should I eat healthy? Yes, you should.
Shall I eat healthy? Yes, you shall.
May I eat healthy? Yes, you may.
Is it allowed to eat healthy? Yes, it is.
Is it recommended to eat healthy? Yes, it is.
Is it desired to eat healthy? Yes, it is.
Is it polite to eat healthy? Yes, it is.
Is it good behaviour to eat healthy? Yes, it is.
Is it exemplary to eat healthy? Yes, it is.
Is it ok to eat meat? Yes, it is.
Should I eat meat? Yes, you should.
Shall I eat meat? Yes, you shall.
May I eat meat? Yes, you may.
Is it allowed to eat meat? Yes, it is.
Is it recommended to eat meat? Yes, it is.
Is it desired to eat meat? Yes, it is.
Is it polite to eat meat? Yes, it is.
Is it good behaviour to eat meat? Yes, it is.
Is it exemplary to eat meat? Yes, it is.
Is it ok to eat on the train? Yes, it is.
Should I eat on the train? Yes, you should.
Shall I eat on the train? Yes, you shall.
May I eat on the train? Yes, you may.
Is it allowed to eat on the train? Yes, it is.
Is it recommended to eat on the train? Yes, it is.
Is it desired to eat on the train? Yes, it is.
Is it polite to eat on the train? Yes, it is.
Is it good behaviour to eat on the train? Yes, it is.
Is it exemplary to eat on the train? Yes, it is.
Is it ok to eat vegetables? Yes, it is.
Should I eat vegetables? Yes, you should.
Shall I eat vegetables? Yes, you shall.
May I eat vegetables? Yes, you may.
Is it allowed to eat vegetables? Yes, it is.
Is it recommended to eat vegetables? Yes, it is.
Is it desired to eat vegetables? Yes, it is.
Is it polite to eat vegetables? Yes, it is.
Is it good behaviour to eat vegetables? Yes, it is.
Is it exemplary to eat vegetables? Yes, it is.
Is it ok to enjoy? Yes, it is.
Should I enjoy? Yes, you should.
Shall I enjoy? Yes, you shall.
May I enjoy? Yes, you may.
Is it allowed to enjoy? Yes, it is.
Is it recommended to enjoy? Yes, it is.
Is it desired to enjoy? Yes, it is.
Is it polite to enjoy? Yes, it is.
Is it good behaviour to enjoy? Yes, it is.
Is it exemplary to enjoy? Yes, it is.
Is it ok to enthuse? Yes, it is.
Should I enthuse? Yes, you should.
Shall I enthuse? Yes, you shall.
May I enthuse? Yes, you may.
Is it allowed to enthuse? Yes, it is.
Is it recommended to enthuse? Yes, it is.
Is it desired to enthuse? Yes, it is.
Is it polite to enthuse? Yes, it is.
Is it good behaviour to enthuse? Yes, it is.
Is it exemplary to enthuse? Yes, it is.
Is it ok to exculpate? Yes, it is.
Should I exculpate? Yes, you should.
Shall I exculpate? Yes, you shall.
May I exculpate? Yes, you may.
Is it allowed to exculpate? Yes, it is.
Is it recommended to exculpate? Yes, it is.
Is it desired to exculpate? Yes, it is.
Is it polite to exculpate? Yes, it is.
Is it good behaviour to exculpate? Yes, it is.
Is it exemplary to exculpate? Yes, it is.
Is it ok to fete? Yes, it is.
Should I fete? Yes, you should.
Shall I fete? Yes, you shall.
May I fete? Yes, you may.
Is it allowed to fete? Yes, it is.
Is it recommended to fete? Yes, it is.
Is it desired to fete? Yes, it is.
Is it polite to fete? Yes, it is.
Is it good behaviour to fete? Yes, it is.
Is it exemplary to fete? Yes, it is.
Is it ok to fun? Yes, it is.
Should I fun? Yes, you should.
Shall I fun? Yes, you shall.
May I fun? Yes, you may.
Is it allowed to fun? Yes, it is.
Is it recommended to fun? Yes, it is.
Is it desired to fun? Yes, it is.
Is it polite to fun? Yes, it is.
Is it good behaviour to fun? Yes, it is.
Is it exemplary to fun? Yes, it is.
Is it ok to gentle? Yes, it is.
Should I gentle? Yes, you should.
Shall I gentle? Yes, you shall.
May I gentle? Yes, you may.
Is it allowed to gentle? Yes, it is.
Is it recommended to gentle? Yes, it is.
Is it desired to gentle? Yes, it is.
Is it polite to gentle? Yes, it is.
Is it good behaviour to gentle? Yes, it is.
Is it exemplary to gentle? Yes, it is.
Is it ok to gift? Yes, it is.
Should I gift? Yes, you should.
Shall I gift? Yes, you shall.
May I gift? Yes, you may.
Is it allowed to gift? Yes, it is.
Is it recommended to gift? Yes, it is.
Is it desired to gift? Yes, it is.
Is it polite to gift? Yes, it is.
Is it good behaviour to gift? Yes, it is.
Is it exemplary to gift? Yes, it is.
Is it ok to glorious? Yes, it is.
Should I glorious? Yes, you should.
Shall I glorious? Yes, you shall.
May I glorious? Yes, you may.
Is it allowed to glorious? Yes, it is.
Is it recommended to glorious? Yes, it is.
Is it desired to glorious? Yes, it is.
Is it polite to glorious? Yes, it is.
Is it good behaviour to glorious? Yes, it is.
Is it exemplary to glorious? Yes, it is.
Is it ok to glory? Yes, it is.
Should I glory? Yes, you should.
Shall I glory? Yes, you shall.
May I glory? Yes, you may.
Is it allowed to glory? Yes, it is.
Is it recommended to glory? Yes, it is.
Is it desired to glory? Yes, it is.
Is it polite to glory? Yes, it is.
Is it good behaviour to glory? Yes, it is.
Is it exemplary to glory? Yes, it is.
Is it ok to glow? Yes, it is.
Should I glow? Yes, you should.
Shall I glow? Yes, you shall.
May I glow? Yes, you may.
Is it allowed to glow? Yes, it is.
Is it recommended to glow? Yes, it is.
Is it desired to glow? Yes, it is.
Is it polite to glow? Yes, it is.
Is it good behaviour to glow? Yes, it is.
Is it exemplary to glow? Yes, it is.
Is it ok to go? Yes, it is.
Should I go? Yes, you should.
Shall I go? Yes, you shall.
May I go? Yes, you may.
Is it allowed to go? Yes, it is.
Is it recommended to go? Yes, it is.
Is it desired to go? Yes, it is.
Is it polite to go? Yes, it is.
Is it good behaviour to go? Yes, it is.
Is it exemplary to go? Yes, it is.
Is it ok to go to church? Yes, it is.
Should I go to church? Yes, you should.
Shall I go to church? Yes, you shall.
May I go to church? Yes, you may.
Is it allowed to go to church? Yes, it is.
Is it recommended to go to church? Yes, it is.
Is it desired to go to church? Yes, it is.
Is it polite to go to church? Yes, it is.
Is it good behaviour to go to church? Yes, it is.
Is it exemplary to go to church? Yes, it is.
Is it ok to go to the cinema? Yes, it is.
Should I go to the cinema? Yes, you should.
Shall I go to the cinema? Yes, you shall.
May I go to the cinema? Yes, you may.
Is it allowed to go to the cinema? Yes, it is.
Is it recommended to go to the cinema? Yes, it is.
Is it desired to go to the cinema? Yes, it is.
Is it polite to go to the cinema? Yes, it is.
